Entity,,Year,Annual CO₂ emissions (tonnes ),
Gabon,,2005,4857850.97,
Gambia,,2000,245488,
Gambia,,2001,252816,
Gambia,,2002,289456,
Gambia,,2003,289456,
Gambia,,2004,293120,
Gambia,,2005,293120,
Georgia,,2000,4499409.28,
Georgia,,2001,3733750.46,
Georgia,,2002,3351383.75,
Georgia,,2003,3735506.98,
Georgia,,2004,4276237.8,
Georgia,,2005,5016999.16,
Germany,,2000,900960091,
Germany,,2001,917476829,
Germany,,2002,900955099,
Germany,,2003,901969865,
Germany,,2004,887996509,
Germany,,2005,867223506,
Ghana,,2000,6100546.08,
Ghana,,2001,6732552.29,
Ghana,,2002,7231478.89,
Ghana,,2003,7437285.5,
Ghana,,2004,7152116.1,
Ghana,,2005,6803420.8,
Gibraltar,,2000,333424,
Gibraltar,,2001,344416,
Gibraltar,,2002,348080,
Gibraltar,,2003,355408,
Gibraltar,,2004,384720,
Gibraltar,,2005,399376,
Greece,,2000,102982298,
Greece,,2001,105368972,
Greece,,2002,105011398,
Greece,,2003,109083182,
Greece,,2004,109530021,
Greece,,2005,113925112,
Greenland,,2000,531280,
Greenland,,2001,538608,
Greenland,,2002,538608,
Greenland,,2003,531280,
Greenland,,2004,582576,
Greenland,,2005,608224,
Grenada,,2000,190528,
Grenada,,2001,194192,
Grenada,,2002,205184,
Grenada,,2003,216176,
Grenada,,2004,205184,
Grenada,,2005,216176,
Guadeloupe,,2000,1912608,
Guadeloupe,,2001,2073824,
Guadeloupe,,2002,2110464,
Guadeloupe,,2003,2227712,
Guadeloupe,,2004,2311984,
Guadeloupe,,2005,2220384,
Guatemala,,2000,9765786.27,
Guatemala,,2001,10467711.4,
Guatemala,,2002,10930465.6,
Guatemala,,2003,10656755.7,
Guatemala,,2004,11425139,
Guatemala,,2005,12349835.8,
Guinea,,2000,1613125.69,
Guinea,,2001,1688180.05,
Guinea,,2002,1767655.45,
Guinea,,2003,1844021.82,
Guinea,,2004,1905732.19,
Guinea,,2005,1824672,
Guinea-Bissau,,2000,146560,
Guinea-Bissau,,2001,150224,
Guinea-Bissau,,2002,153888,
Guinea-Bissau,,2003,194192,
Guinea-Bissau,,2004,201520,
Guinea-Bissau,,2005,212512,
Guyana,,2000,1608496,
Guyana,,2001,1593840,
Guyana,,2002,1579184,
Guyana,,2003,1564528,
Guyana,,2004,1626816,
Guyana,,2005,1436288,
Haiti,,2000,1366672,
Haiti,,2001,1552693.12,
Haiti,,2002,1802189.87,
Haiti,,2003,1709695.48,
Haiti,,2004,1960372.42,
Haiti,,2005,2047368.15,
Honduras,,2000,4934153.31,
Honduras,,2001,5608876.33,
Honduras,,2002,5990210.85,
Honduras,,2003,6660647.54,
Honduras,,2004,7243355.39,
Honduras,,2005,7426530.27,
Hong Kong,,2000,40283873.3,
Hong Kong,,2001,37801837.3,
Hong Kong,,2002,39485006.4,
Hong Kong,,2003,43203362.8,
Hong Kong,,2004,41568298.7,
